"category";"subcategory";"key";"value"
"Благотворительность";"Фонды";"Фонд Ройзмана";3600
"Политическая деятельность";"Кандидат в МГД";"Дмитрий Гудков";2000
"Политическая деятельность";"Кандидат в МГД";"Илья Яшин";2000
"Политическая деятельность";"Кандидат в МГД";"Любовь Соболь";500
"Политическая деятельность";"СМИ";"ОВД-Инфо";1800
"Политическая деятельность";"Кандидат в МГД";"Владимир Милов";500
"Политическая деятельность";"Политические партии";"Фонд Борьбы с Коррупцией";7000
"Политическая деятельность";"Политические партии";"Штабы Навального";1600
"Политическая деятельность";"СМИ";"Медиазона";600
"Политическая деятельность";"СМИ";"Новая Газета";3300
"Налоги";"ПФР";"Взносы в ПФР ИП";29354
